Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorMoreThanS3ClientLimit,Magic Number,The method contains a magic number: 100,252
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorMoreThanS3ClientLimit,Magic Number,The method contains a magic number: 10,252
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3IteratorTest,iteratorMoreThanS3ClientLimit,Magic Number,The method contains a magic number: 2,252
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,offsetAndLengthForWriteProvider,Magic Number,The method contains a magic number: 5,53
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,writeToClosedStreamShouldProduceExceptionThreadSafe,Long Statement,The length of the statement "CompletableFuture[] futures=new CompletableFuture[]{CompletableFuture.runAsync(runnable)`CompletableFuture.runAsync(runnable)`CompletableFuture.runAsync(runnable)`CompletableFuture.runAsync(runnable)};" is 201.,86
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,closingStreamShouldBeThreadSafe,Long Statement,The length of the statement "CompletableFuture[] futures=new CompletableFuture[]{CompletableFuture.runAsync(runnable)`CompletableFuture.runAsync(runnable)`CompletableFuture.runAsync(runnable)`CompletableFuture.runAsync(runnable)`CompletableFuture.runAsync(runnable)};" is 238.,141
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,closingStreamShouldBeThreadSafe,Magic Number,The method contains a magic number: 5,141
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,closeAndWriteProducesIOException,Magic Number,The method contains a magic number: 6,236
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,closeAndWriteProducesIOException,Magic Number,The method contains a magic number: 1024,236
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,closeAndWriteProducesIOException,Magic Number,The method contains a magic number: 1024,236
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,closeAndWriteProducesIOException,Magic Number,The method contains a magic number: 3,236
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,closeAndWriteProducesIOException,Magic Number,The method contains a magic number: 1024,236
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,closeAndWriteProducesIOException,Magic Number,The method contains a magic number: 1024,236
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,maxNumberOfUploadPartsReachedProducesIOException,Magic Number,The method contains a magic number: 6,269
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,maxNumberOfUploadPartsReachedProducesIOException,Magic Number,The method contains a magic number: 1024,269
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,maxNumberOfUploadPartsReachedProducesIOException,Magic Number,The method contains a magic number: 1024,269
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,maxNumberOfUploadPartsReachedProducesIOException,Magic Number,The method contains a magic number: 12,269
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,maxNumberOfUploadPartsReachedProducesIOException,Magic Number,The method contains a magic number: 1024,269
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,maxNumberOfUploadPartsReachedProducesIOException,Magic Number,The method contains a magic number: 1024,269
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,smallDataUsesPutObject,Magic Number,The method contains a magic number: 64,302
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,bigDataUsesMultipartUpload,Magic Number,The method contains a magic number: 6,327
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,bigDataUsesMultipartUpload,Magic Number,The method contains a magic number: 1024,327
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,bigDataUsesMultipartUpload,Magic Number,The method contains a magic number: 1024,327
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,bigDataUsesMultipartUpload,Magic Number,The method contains a magic number: 3,327
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,bigDataUsesMultipartUpload,Magic Number,The method contains a magic number: 1024,327
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,bigDataUsesMultipartUpload,Magic Number,The method contains a magic number: 1024,327
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadFailsThenAnExceptionIsThrown,Long Statement,The length of the statement "final CreateMultipartUploadRequest request=CreateMultipartUploadRequest.builder().bucket(BUCKET_NAME).key(key).metadata(new HashMap<>()).build();" is 145.,357
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 8,357
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,357
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,357
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 4,357
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,357
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,357
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadReturnsNullUploadIdThenAnExceptionIsThrown,Long Statement,The length of the statement "final CreateMultipartUploadRequest request=CreateMultipartUploadRequest.builder().bucket(BUCKET_NAME).key(key).metadata(new HashMap<>()).build();" is 145.,397
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadReturnsNullUploadIdThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 6,397
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadReturnsNullUploadIdThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,397
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadReturnsNullUploadIdThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,397
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadReturnsNullUploadIdThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 3,397
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadReturnsNullUploadIdThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,397
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenCreateMultipartUploadReturnsNullUploadIdThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,397
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 6,439
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,439
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,439
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 3,439
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,439
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,439
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartAndAbortMultipartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 6,474
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartAndAbortMultipartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,474
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartAndAbortMultipartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,474
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartAndAbortMultipartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 3,474
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartAndAbortMultipartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,474
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,whenUploadPartAndAbortMultipartFailsThenAnExceptionIsThrown,Magic Number,The method contains a magic number: 1024,474
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3OutputStreamTest,assertThatBytesHaveBeenPut,Long Statement,The length of the statement "try (final InputStream inputStream=requestBodyCaptor.getValue().contentStreamProvider().newStream();final DataInputStream dataInputStream=new DataInputStream(inputStream)){" is 172.,510
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3SeekableByteChannelTest,constructor,Long Statement,The length of the statement "S3SeekableByteChannel channel=new S3SeekableByteChannel(file1`EnumSet.of(StandardOpenOption.WRITE`StandardOpenOption.READ)`tempFileRequired);" is 141.,44
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3SeekableByteChannelTest,tempFileDisappeared,Long Statement,The length of the statement "S3SeekableByteChannel channel=new S3SeekableByteChannel(file2`EnumSet.of(StandardOpenOption.WRITE`StandardOpenOption.READ)`true);" is 129.,149
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3SeekableByteChannelTest,writeFileWithReallyLongName,Long Statement,The length of the statement "final String longDirectoryName="FuscetellusodiodapibusidfermentumquissuscipitideratEtiamquisquamVestibulumeratnullaullamcorpernecrutrumnonnon";" is 143.,175
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3SeekableByteChannelTest,writeFileWithReallyLongName,Long Statement,The length of the statement "final String longFileName="ummyaceratSedutperspiciatisundeomnisisfasdfasdfasfsafdtenatuserrorsitvoluptatemaccusantiumdoloremquelaudantiumtotamremaperiameaqueipsaqummyaceratSedutperspiciatisundeomnisisfasdfasdfasfsafdtenatuserrorsitvoluptatemaccusantiumdoloremquelaudantiumtotamremaperiameaqueipsaq";" is 299.,175
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3UnitTestBase,closeMemory,Empty catch clause,The method has an empty catch block.,47
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3UnitTestBase,tearDown,Empty catch clause,The method has an empty catch block.,66
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3UtilsTest,getS3Object,Magic Number,The method contains a magic number: 19,45
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3UtilsTest,getS3Object500,Long Statement,The length of the statement "final AwsServiceException toBeThrown=S3Exception.builder().message("We messed up").statusCode(INTERNAL_SERVER_ERROR).build();" is 125.,84
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest,walkFileTree,Long Statement,The length of the statement "mockBucket.file("folder/subfolder1/file1.1"`"folder/subfolder1/file1.2"`"folder/subfolder1/file1.3"`"folder/subfolder1/file1.4");" is 129.,139
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest,walkFileTree,Long Statement,The length of the statement "mockBucket.file("folder/subfolder2/file2.1"`"folder/subfolder2/file2.2"`"folder/subfolder2/file2.3"`"folder/subfolder2/file2.4");" is 129.,139
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest,walkFileTree,Magic Number,The method contains a magic number: 14,139
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest,walkFileTree,Magic Number,The method contains a magic number: 20,139
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest,walkEmptyFileTree,Magic Number,The method contains a magic number: 2,184
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest,walkLargeFileTree,Magic Number,The method contains a magic number: 21,209
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest,walkLargeFileTree,Magic Number,The method contains a magic number: 50,209
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest,walkLargeFileTree,Magic Number,The method contains a magic number: 10,209
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest,walkLargeFileTree,Magic Number,The method contains a magic number: 10,209
s3fs-nio,org.carlspring.cloud.storage.s3fs,S3WalkerTest,walkLargeFileTree,Magic Number,The method contains a magic number: 1094,209
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,AttributesUtils,fileAttributeToMap,Complex Method,Cyclomatic complexity of the method is 17,23
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,AttributesUtils,getAllAttributes,Long Statement,The length of the statement "return new String[]{"creationTime"`"fileKey"`"isDirectory"`"isOther"`"isRegularFile"`"isSymbolicLink"`"lastAccessTime"`"lastModifiedTime"`"size"`"permissions"`"group"`"owner"};" is 176.,84
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,IOUtils,toByteArray,Magic Number,The method contains a magic number: 16384,13
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3Utils,listS3Objects,Long Statement,The length of the statement "final ListObjectsV2Request request=ListObjectsV2Request.builder().bucket(bucketName).prefix(keyFolder).maxKeys(1).build();" is 122.,44
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3Utils,getS3Object,Empty catch clause,The method has an empty catch block.,81
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3Utils,getS3Object,Long Statement,The length of the statement "builder.key(key).lastModified(metadata.lastModified()).eTag(metadata.eTag()).owner(acl.owner()).size(metadata.contentLength()).storageClass(metadata.storageClassAsString());" is 173.,81
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3Utils,getS3PosixFileAttributes,Long Statement,The length of the statement "return new S3PosixFileAttributes((String)attrs.fileKey()`attrs.lastModifiedTime()`attrs.size()`attrs.isDirectory()`attrs.isRegularFile()`userPrincipal`null`permissions);" is 169.,166
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3Utils,toPosixFilePermission,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@3123ea3,233
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3Utils,toS3FileAttributes,Complex Conditional,The conditional expression key.endsWith("/") && resolvedKey.equals(key) || resolvedKey.equals(key + "/") is complex.,262
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,EnvironmentBuilder,getRealEnv,Complex Conditional,The conditional expression accessKey != null && secretKey != null && region != null && protocol != null && bucket != null is complex.,34
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,EnvironmentBuilder,getRealEnv,Long Statement,The length of the statement "env=ImmutableMap.<String`Object>builder().put(ACCESS_KEY`accessKey).put(SECRET_KEY`secretKey).put(REGION`region).put(PROTOCOL`protocol).put(BUCKET_NAME_KEY`bucket).build();" is 172.,34
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,EnvironmentBuilder,getRealEnv,Long Statement,The length of the statement "env=ImmutableMap.<String`Object>builder().put(ACCESS_KEY`getPropFromSystemOrFallback(ACCESS_KEY`props)).put(SECRET_KEY`getPropFromSystemOrFallback(SECRET_KEY`props)).put(REGION`getPropFromSystemOrFallback(REGION`props)).put(PROTOCOL`getPropFromSystemOrFallback(PROTOCOL`props)).put(BUCKET_NAME_KEY`getPropFromSystemOrFallback(BUCKET_NAME_KEY`props)).build();" is 358.,34
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,ExposingS3BaseClientBuilder,mergeServiceDefaults,Long Statement,The length of the statement "return config.merge((c) -> c.option(SdkAdvancedClientOption.SIGNER`this.defaultSigner()).option(SdkClientOption.CRC32_FROM_COMPRESSED_DATA_ENABLED`false).option(SdkClientOption.SERVICE_CONFIGURATION`S3Configuration.builder().build()));" is 235.,36
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,ExposingS3BaseClientBuilder,finalizeServiceConfiguration,Long Statement,The length of the statement "List<ExecutionInterceptor> interceptors=interceptorFactory.getInterceptors("software/amazon/awssdk/services/s3/execution.interceptors");" is 136.,43
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,ExposingS3BaseClientBuilder,finalizeServiceConfiguration,Long Statement,The length of the statement "c.profileFile(c.profileFile() != null ? c.profileFile() : config.option(SdkClientOption.PROFILE_FILE)).profileName(c.profileName() != null ? c.profileName() : config.option(SdkClientOption.PROFILE_NAME));" is 204.,43
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,ExposingS3BaseClientBuilder,finalizeServiceConfiguration,Long Statement,The length of the statement "return config.toBuilder().option(SdkClientOption.EXECUTION_INTERCEPTORS`interceptors).option(SdkClientOption.SERVICE_CONFIGURATION`c.build()).build();" is 150.,43
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,MinioContainer,MinioContainer,Long Statement,The length of the statement "setWaitStrategy(new HttpWaitStrategy().forPort(DEFAULT_PORT).forPath(HEALTH_ENDPOINT).withStartupTimeout(Duration.ofMinutes(2)));" is 129.,21
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,MinioContainer,MinioContainer,Magic Number,The method contains a magic number: 6,21
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,MinioContainer,MinioContainer,Magic Number,The method contains a magic number: 2,21
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,addFile,Long Statement,The length of the statement "PosixFileAttributeView fileAttributeView=file.getFileSystem().provider().getFileAttributeView(file`PosixFileAttributeView.class);" is 129.,198
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,copyObject,Magic Number,The method contains a magic number: 2,282
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,getObject,Long Statement,The length of the statement "throw NoSuchKeyException.builder().message("Key not found: " + (object != null ? object.key() : key)).statusCode(NOT_FOUND).build();" is 132.,569
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,buildGetObjectResponse,Long Statement,The length of the statement "return GetObjectResponse.builder().lastModified(object.lastModified()).eTag(object.eTag()).contentLength(object.size()).storageClass(object.storageClassAsString()).build();" is 172.,617
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,listObjectsV2,Complex Method,Cyclomatic complexity of the method is 11,683
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,listObjectsV2,Long Statement,The length of the statement "return ListObjectsV2Response.builder().isTruncated(true).contents(objects).name(bucketName).prefix(prefix).delimiter(delimiter).commonPrefixes(commonPrefixes).nextContinuationToken(iterator.next().getS3Object().key()).build();" is 226.,683
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,listObjectsV2,Long Statement,The length of the statement "return ListObjectsV2Response.builder().isTruncated(false).contents(objects).name(bucketName).prefix(prefix).delimiter(delimiter).commonPrefixes(commonPrefixes).build();" is 168.,683
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,parse,Long Statement,The length of the statement "final S3Object object=S3Object.builder().key(key).lastModified(lastModified).size(size).storageClass(storageClass).owner(owner).build();" is 136.,860
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,getGrants,Complex Method,Cyclomatic complexity of the method is 11,923
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,getGrants,Long Statement,The length of the statement "final Set<PosixFilePermission> posixFilePermissions=Files.readAttributes(element`PosixFileAttributes.class).permissions();" is 122.,923
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,getGrants,Long Statement,The length of the statement "return permissions.stream().map(permission -> Grant.builder().grantee(grantee).permission(permission).build()).collect(Collectors.toList());" is 140.,923
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,parse,Long Statement,The length of the statement "return HeadObjectResponse.builder().lastModified(object.lastModified()).eTag(object.eTag()).contentLength(object.contentLength()).storageClass(object.storageClassAsString()).build();" is 182.,991
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,uploadPart,Long Statement,The length of the statement "try (final InputStream inputStream=requestBody.contentStreamProvider().newStream();final DataInputStream dataInputStream=new DataInputStream(inputStream)){" is 155.,1018
s3fs-nio,org.carlspring.cloud.storage.s3fs.util,S3ClientMock,persist,Empty catch clause,The method has an empty catch block.,1084
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,CheckAccessTest,checkAccessMissingFile,Long Statement,The length of the statement "final Exception exception=assertThrows(NoSuchFileException.class`() -> s3fsProvider.checkAccess(file1`AccessMode.WRITE));" is 121.,83
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,CheckAccessTest,checkAccessExecute,Long Statement,The length of the statement "final Exception exception=assertThrows(AccessDeniedException.class`() -> s3fsProvider.checkAccess(file1`AccessMode.EXECUTE));" is 125.,104
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,DeleteTest,deleteEmptyDirectory,Long Statement,The length of the statement "Path base=s3fsProvider.newFileSystem(URI.create("s3://endpoint1/")`ImmutableMap.<String`Object>builder().put(ACCESS_KEY`"access_key").put(SECRET_KEY`"secret_key").build()).getPath("/bucketA/dir");" is 196.,85
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,GetFileSystemIT,setup,Empty catch clause,The method has an empty catch block.,35
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,MoveTest,moveWithReplaceExisting,Long Statement,The length of the statement "client.bucket("bucketA").dir("dir").file("dir/file1"`content.getBytes()).file("dir/file2"`"different-content".getBytes());" is 122.,62
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,MoveTest,moveWithoutReplaceExisting,Long Statement,The length of the statement "client.bucket("bucketA").dir("dir").file("dir/file1"`content.getBytes()).file("dir/file2"`"different-content".getBytes());" is 122.,86
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelWriteAndRead,Magic Number,The method contains a magic number: 7,47
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelPositionRead,Magic Number,The method contains a magic number: 3,100
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelPositionRead,Magic Number,The method contains a magic number: 3,100
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelPositionWrite,Magic Number,The method contains a magic number: 5,128
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelPositionWrite,Magic Number,The method contains a magic number: 5,128
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelRead,Magic Number,The method contains a magic number: 7,184
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelReadPartialContent,Magic Number,The method contains a magic number: 4,209
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelReadPartialContent,Magic Number,The method contains a magic number: 3,209
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelTruncate,Magic Number,The method contains a magic number: 3,234
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelTruncate,Magic Number,The method contains a magic number: 7,234
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelTruncate,Magic Number,The method contains a magic number: 3,234
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelTruncateGreaterThanSize,Magic Number,The method contains a magic number: 10,260
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTest,fileChannelNotExists,Long Statement,The length of the statement "final Exception exception=assertThrows(NoSuchFileException.class`() -> s3fsProvider.newAsynchronousFileChannel(file`noOptions`null));" is 133.,323
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewAsynchronousFileChannelTestIT,newAsynchronousFileChannelCreateAndWrite,Long Statement,The length of the statement "final EnumSet<StandardOpenOption> options=EnumSet.of(StandardOpenOption.WRITE`StandardOpenOption.READ`StandardOpenOption.CREATE_NEW);" is 133.,82
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelIT,newByteChannelCreateAndWrite,Long Statement,The length of the statement "try (SeekableByteChannel seek=fileSystemAmazon.provider().newByteChannel(file`EnumSet.of(StandardOpenOption.WRITE`StandardOpenOption.READ`StandardOpenOption.CREATE_NEW))){" is 171.,74
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelIT,newByteChannelWrite,Long Statement,The length of the statement "try (SeekableByteChannel seek=fileSystemAmazon.provider().newByteChannel(file`EnumSet.of(StandardOpenOption.WRITE`StandardOpenOption.READ))){" is 141.,94
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelIT,newByteChannelRead,Long Statement,The length of the statement "try (SeekableByteChannel seek=fileSystemAmazon.provider().newByteChannel(file`EnumSet.of(StandardOpenOption.WRITE`StandardOpenOption.READ))){" is 141.,131
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekable,Long Statement,The length of the statement "try (SeekableByteChannel seekable=s3fsProvider.newByteChannel(filePath`EnumSet.of(StandardOpenOption.WRITE`StandardOpenOption.READ))){" is 134.,42
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekable,Magic Number,The method contains a magic number: 7,42
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekableSize,Long Statement,The length of the statement "try (SeekableByteChannel seekable=s3fsProvider.newByteChannel(base.resolve("file")`EnumSet.of(StandardOpenOption.WRITE`StandardOpenOption.READ))){" is 146.,71
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekablePosition,Long Statement,The length of the statement "try (SeekableByteChannel seekable=s3fsProvider.newByteChannel(base.resolve("file")`EnumSet.of(StandardOpenOption.WRITE`StandardOpenOption.READ))){" is 146.,93
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekablePosition,Magic Number,The method contains a magic number: 10,93
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekablePosition,Magic Number,The method contains a magic number: 10,93
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekablePositionRead,Long Statement,The length of the statement "try (SeekableByteChannel seekable=s3fsProvider.newByteChannel(base.resolve("file")`EnumSet.of(StandardOpenOption.READ))){" is 121.,120
s3fs-nio,org.carlspring.cloud.storage.s3fs.fileSystemProvider,NewByteChannelTest,seekablePositionRead,Magic Number,The method contains a magic number: 3,120
